azonosito;nev;hosszusag;szelesseg;kategoria;atlagos_ido;leiras
12;Közép-bányató;19.867916;48.154805;természeti kincsek;0.5;A három oldalról magas, függőleges bazaltsziklafallal határolt, vadregényes tájba illő tó minden évszakban lenyűgöző látványt nyújt.
13;Dornyay Turistaház ;19.846027;48.149805;műemlékek;0.25;A Salgó Menedékház 1965-ben vette fel a Dornyay turistaház nevet. Még vagy húsz évig környékbeli túrák kiindulópontja volt, a sípálya is üzemelt, felvonó is volt mellette. A turistaház az 1990-es évek első felében még működött, voltak próbálkozások a fenntartására.
14;Petőfi-forrás;19.856916;48.162194;természeti kincsek;0.25;Petőfi Sándor 1845 nyarán felvidéki barangolásai során látogatott el Somoskő és Salgó vidékére. A költő emlékét őrző hálás utókor az Eresztvény és Somoskő Magyar-bánya közötti egykori vasúti pálya kényelmes sétával bejárható nyomvonalát Petőfi sétánynak nevezte el.
15;Gortva vízesés;19.891583;48.139388;természeti kincsek;0.25;A Gortva-patak jó része, így a vízesés is fokozottan védett természetvédelmi területen található. Megközelítése képzett és engedéllyel rendelkező túravezetővel lehetséges 
16;Tehenesi bányató;19.888000;48.141750;természeti kincsek;0.25;A bánya területén keletkezett tó a kirándulások kedvelt célpontja
17;Salakhegyek;19.855638;48.117027;természeti kincsek;0.5;Megjelenésük és méretük valamint megközelítésük miatt, ezek a mesterséges csúcsok is célpontok a kirándulások során.
18;Mogyorósi kilátó;19.884583;48.127611;kilátó;0.5;A Rónafalu felett magasodó Mogyorósi-kilátóról fantasztikus panoráma tárul a szemünk elé. Könnyen megközelíthető kilátó, gyalogosan is Rónafaluból, de akár autóval is el lehet menni a kilátó közvetlen közelébe.
19;Zagyva-forrás;19.871444;48.140944;természeti kincsek;0.25;A Zagyva forrása a Medves hegység lejtőjén Salgóbányától délre található, kb. 500 méter tengerszint feletti magasságban, a Karancs-Medves Tájvédelmi Körzet területén.
20;Zenthe Ferenc emlékpark;19.860055;48.144166;múzeumok, információ;0.5;Zenthe Ferenc a Nemzet Színésze címmel kitüntetett, Kossuth-díjas és kétszeres Jászai Mari-díjas magyar színművész, érdemes és kiváló művész. Szülőfalujában, Salgóbányán, emlékparkot alapítottak tiszteletére
21;Kőpark;19.857222;48.172583;múzeumok, információ;0.5;A hajdani Magyar-bánya meddőhányóján kialakított kőparkban a környék (Nógrád) jellegzetes kőzeteit gyűjtötték össze.
22;Tarján Glass Látogatóközpont;19.783194;48.066916;múzeumok, információ;1.25;Magyarországon először komplex üvegipari látogatóközponttal várjuk az üveggyártás iránt érdeklődőket: üvegmúzeum, gyárlátogatás és mintabolt várja az ide látogatókat.
23;Balázs János szabadtéri kiállítás;19.807583;48.103444;múzeumok, információ;0.25;A kiállítás a Sakkozzuk ki! városszépítő egyesület és a Dornyay Béla Múzeum közös szervezésében jött létre.
24;Dornyay Béla Múzeum;19.805500;48.102750;múzeumok, információ;2;Széles körű állandó kiállítások, valamint igényes, gazdag anyagú időszakos kiállítások várják a látogatókat a salgótarjáni Dornyay Béla Múzeumban.
25;Hármashalom kilátó;19.802305;48.105888;kilátó;0.75;A salgótarjáni Országzászló Emlékhely tervezését annak idején Makovecz Imre kezdte meg, de a művész halála miatt tanítványai véglegesítették a terveket. A partizán emlékmű, a “Pléh Öcsi” helyén 2012. június 3-án, az összetartozás napja alkalmából avatták fel az új Országzászló Emlékhelyet.
